Date,Team,Acquired,Relinquised,Notes
2014-04-11,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
2014-04-11,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
2014-04-12,76ers,,Jarvis Varnado,sore right heel (DNP)
2014-04-12,Bobcats,,Kemba Walker,sore right groin (DNP)
2014-04-12,Bucks,,Brandon Knight,hip injury (DNP)
2014-04-12,Bucks,,Ekpe Udoh,right knee injury (DNP)
2014-04-12,Bucks,,O.J. Mayo,sprained right ankle (DNP)
2014-04-12,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
2014-04-12,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
2014-04-12,Cavaliers,,Luol Deng,back injury (DNP)
2014-04-12,Celtics,,Jared Sullinger,sprained left ankle (DNP)
2014-04-12,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
2014-04-12,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
2014-04-12,Celtics,,Rajon Rondo,bruised left shin (DNP)
2014-04-12,Celtics,,Vitor Faverani,knee injury (DNP)
2014-04-12,Clippers,,Danny Granger,strained left hamstring (DNP)
2014-04-12,Hawks,,Pero Antic,sprained right ankle (DNP)
2014-04-12,Jazz,,Marvin Williams,knee injury (DNP)
2014-04-12,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
2014-04-12,Mavericks,,Gal Mekel,knee injury (DNP)
2014-04-12,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
2014-04-12,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2014-04-12,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2014-04-12,Pelicans,,Anthony Davis,back spasms (DNP)
2014-04-12,Pelicans,,Brian Roberts,sprained left ankle (DNP)
2014-04-12,Pelicans,,Eric Gordon,left knee tendinitis (surgery) (DNP)
2014-04-12,Pelicans,,Jason Smith,right knee injury (DNP)
2014-04-12,Pelicans,,Tyreke Evans,DNP
2014-04-12,Rockets,,Chandler Parsons,sore wrist (DNP)
2014-04-13,Kings,,Rudy Gay,strained lower back (DNP)
2014-04-13,Lakers,,Chris Kaman,sore/strained right calf (DNP)
2014-04-13,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
2014-04-13,Lakers,,Pau Gasol,vertigo (DNP)
2014-04-13,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
2014-04-13,Magic,,Jameer Nelson,strained left groin (DNP)
2014-04-13,Magic,,Nikola Vucevic,sore left Achilles (DNP)
2014-04-13,Nets,,Alan Anderson,sore abdominal muscle (DNP)
2014-04-13,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
2014-04-13,Raptors,,Landry Fields,respiratory ailment (DNP)
2014-04-13,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
2014-04-13,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
2014-04-14,Bucks,,Ekpe Udoh,right knee injury (DNP)
2014-04-14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
2014-04-14,Celtics,,Jared Sullinger,sprained left ankle (DNP)
2014-04-14,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
2014-04-14,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
2014-04-14,Celtics,,Vitor Faverani,knee injury (DNP)
2014-04-14,Jazz,,Marvin Williams,knee injury (DNP)
2014-04-14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
2014-04-14,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
2014-04-14,Lakers,,Pau Gasol,vertigo (DNP)
2014-04-14,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
2014-04-14,Magic,,Jameer Nelson,strained left groin (DNP)
2014-04-14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
2014-04-14,Pelicans,,Anthony Davis,back spasms (DNP)
2014-04-14,Pelicans,,Brian Roberts,sprained left ankle (DNP)
2014-04-14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
2014-04-14,Pelicans,,Jason Smith,right knee injury (DNP)
2014-04-14,Raptors,,DeMar DeRozan,DNP
2014-04-14,Raptors,,Landry Fields,respiratory ailment (DNP)
2014-04-14,Spurs,,Patrick Mills / Patty Mills,rest (DNP)
2014-04-14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
2014-04-14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
2014-04-14,Timberwolves,,Ronny Turiaf,right knee injury (DNP)
2014-04-15,Clippers,,Danny Granger,strained left hamstring (DNP)
2014-04-15,Knicks,,Carmelo Anthony,torn labrum in right shoulder (DNP)
2014-04-15,Nets,,Alan Anderson,sore abdominal muscle (DNP)
2014-04-15,Nets,,Shaun Livingston,sprained right big toe (DNP)
2014-04-15,Nuggets,,Danilo Gallinari,torn ACL in left knee (out for season)
2014-04-15,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
2014-04-15,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2014-04-15,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2014-04-16,Bucks,,Ekpe Udoh,right knee injury (DNP)
2014-04-16,Bucks,,O.J. Mayo,sprained right ankle (DNP)
2014-04-16,Cavaliers,,Anderson Varejao,DNP
2014-04-16,Celtics,,Jared Sullinger,sprained left ankle (DNP)
2014-04-16,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
2014-04-16,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
2014-04-16,Celtics,,Vitor Faverani,knee injury (DNP)
2014-04-16,Clippers,,Chris Paul,rest (DNP)
2014-04-16,Clippers,,Danny Granger,strained left hamstring (DNP)
2014-04-16,Clippers,,J.J. Redick,rest (DNP)
2014-04-16,Hawks,,Paul Millsap,DNP
2014-04-16,Heat,,Mario Chalmers,DNP
2014-04-16,Jazz,,Enes Kanter,knee injury (DNP)
2014-04-16,Jazz,,Marvin Williams,knee injury (DNP)
2014-04-16,Knicks,,Carmelo Anthony,torn labrum in right shoulder (DNP)
2014-04-16,Knicks,,Raymond Felton,ankle injury (DNP)
2014-04-16,Lakers,,Chris Kaman,sore/strained right calf (DNP)
2014-04-16,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
2014-04-16,Lakers,,Kent Bazemore,surgery on right foot to repair torn tendon
2014-04-16,Lakers,,Pau Gasol,vertigo (DNP)
2014-04-16,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
2014-04-16,Magic,,Jameer Nelson,strained left groin (DNP)
2014-04-16,Magic,,Nikola Vucevic,sore left Achilles (DNP)
2014-04-16,Mavericks,,Gal Mekel,knee injury (DNP)
2014-04-16,Nets,,Alan Anderson,sore abdominal muscle (DNP)
2014-04-16,Nets,,Deron Williams,right knee tendinitis (DNP)
2014-04-16,Nets,,Joe Johnson,right calf injury (DNP)
2014-04-16,Nets,,Kevin Garnett,rest (DNP)
2014-04-16,Nets,,Paul Pierce,rest (DNP)
2014-04-16,Nets,,Shaun Livingston,sprained right big toe (DNP)
2014-04-16,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
2014-04-16,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2014-04-16,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2014-04-16,Pelicans,,Anthony Davis,back spasms (DNP)
2014-04-16,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
2014-04-16,Pelicans,,Jason Smith,right knee injury (DNP)
2014-04-16,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
2014-04-16,Raptors,,Landry Fields,respiratory ailment (DNP)
2014-04-16,Rockets,,Chandler Parsons,rest (DNP)
2014-04-16,Rockets,,Jeremy Lin,rest (DNP)
2014-04-16,Suns,,Goran Dragic,ankle injury (DNP)
2014-04-16,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
2014-04-16,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,back spasms (DNP)
2014-04-16,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
2014-04-16,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-04-16,Warriors,,David Lee,rest (DNP)
2014-04-16,Warriors,,Nemanja Nedovic,calf injury (DNP)
2014-04-16,Warriors,,Stephen Curry,rest (DNP)
2014-04-16,Warriors,,Andre Iguodala,rest (DNP)
2014-04-19,Raptors,,Landry Fields,respiratory ailment (DNP)
2014-04-19,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-04-20,Heat,,Michael Beasley,sprained right ankle (DNP)
2014-04-20,Mavericks,,Gal Mekel,knee injury (DNP)
2014-04-21,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-04-23,Mavericks,,Gal Mekel,knee injury (DNP)
2014-04-24,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-04-26,Mavericks,,Gal Mekel,knee injury (DNP)
2014-04-27,Raptors,,Landry Fields,back spasms (DNP)
2014-04-27,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-04-28,Bobcats,,Al Jefferson,strained plantar fascia in left foot (DNP)
2014-04-28,Mavericks,,Gal Mekel,knee injury (DNP)
2014-04-29,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-04-30,Bobcats,,Josh McRoberts,surgery on left big toe to remove bone spurs (out indefinitely)
2014-04-30,Mavericks,,Gal Mekel,knee injury (DNP)
2014-05-01,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-05-02,Bulls,,Joakim Noah,arthroscopic surgery on left knee (out indefinitely)
2014-05-02,Mavericks,,Gal Mekel,knee injury (DNP)
2014-05-03,Warriors,,Andrew Bogut,fractured right rib (DNP)
2014-05-04,Mavericks,,Gal Mekel,knee injury (DNP)
2014-05-06,76ers,,Michael Carter-Williams,surgery on right shoulder to repair torn labrum (out indefinitely)
2014-05-12,Blazers,,Maurice Williams / Mo Williams,strained groin (DNP)
2014-05-13,Cavaliers,,Anthony Bennett,surgery for removal of tonsils and adnoids (out indefinitely)
2014-05-14,Blazers,,Maurice Williams / Mo Williams,strained groin (DNP)
2014-05-15,Pelicans,,Tyreke Evans,arthroscopic surgery on right knee to remove scar tissue (out indefinitely)
2014-05-16,Thunder,,Serge Ibaka,left calf injury (out indefinitely)
2014-05-18,Pacers,,Evan Turner,strep throat (DTD)
2014-05-24,Bobcats,,Gerald Henderson (b),arthroscopic surgery on right wrist to remove scar tissue (out indefinitely)
2014-05-27,Nets,,Deron Williams,surgery on left ankle to remove bone spurs and right ankle to remove loose bone fragment (out indefinitely)
2014-06-28,Wizards,,Martell Webster,microdisectomy surgery on lower back to repair herniated disc (out indefinitely)
2014-07-01,Spurs,,Patrick Mills / Patty Mills,right shoulder injury (surgery) (out indefinitely)
2014-07-02,Spurs,,Emanuel Ginobili / Manu Ginobili,stress fracture in right leg (out indefinitely)
2014-07-05,76ers,,Pierre Jackson,right Achilles tendon injury (out indefinitely)
2014-07-14,Thunder,,Perry Jones III,arthroscopic surgery on right knee (out indefinitely)
2014-07-22,Blazers,,Thomas Robinson,surgery on right thumb to repair torn ligament (out indefinitely)
2014-08-01,Pacers,,Paul George,surgery on right leg to repair fractured tibia and fibula (out indefinitely)
2014-08-11,Nets,,Markel Brown,fractured right hand (out indefinitely)
2014-08-15,Suns,,Isaiah Thomas,arthroscopic surgery on left wrist (out indefinitely)
2014-08-15,Warriors,,Shaun Livingston,arthroscopic surgery on right big toe (out indefinitely)
2014-09-02,Hornets,,Noah Vonleh,surgery to repair sports hernia (out indefinitely)
2014-09-26,Celtics,,Rajon Rondo,surgery on fractured left finger (out indefinitely)
2014-09-27,Pelicans,,Tyreke Evans,strained right hamstring (out indefinitely)
2014-09-29,Heat,,Justin Hamilton (b),surgery to repair atrial flutter (out indefinitely)
2014-10-06,Lakers,,Nick Young,surgery on right thumb to repair torn ligament (out indefinitely)
2014-10-07,Suns,,Alex Len,fractured right pinky finger (out indefinitely)
2014-10-09,Thunder,,Mitch McGary,fractured left foot (out indefinitely)
2014-10-11,Wizards,,Bradley Beal,surgery on left wrist to repair fracture (out indefinitely) (date approximate)
2014-10-13,Bucks,,Johnny O'Bryant III,sprained MCL in right knee (out indefinitely)
2014-10-13,Thunder,,Kevin Durant,fractured right toe (out indefinitely)
2014-10-14,Pistons,,Jodie Meeks,stress fracture in lower back (out indefinitely)
2014-10-16,Thunder,,Kevin Durant,surgery on right toe to repair fracture (out indefinitely)
2014-10-17,Bucks,,Larry Sanders,surgery (out indefinitely)
2014-10-23,Lakers,,Steve Nash,back injury (out for season)
2014-10-23,Suns,,T.J. Warren,fractured left thumb (out indefinitely)
2014-10-25,Magic,,Victor Oladipo,surgery to repair facial fracture (out indefinitely)
2014-10-27,Pacers,,C.J. Watson,bruised right foot (DTD)
2014-10-28,Lakers,,Julius Randle,fractured tibia in right leg (out for season)
2014-10-28,Lakers,,Ryan Kelly,sore right hamstring (DTD)
2014-10-28,Lakers,,Wayne Ellington,concussion (DTD)
2014-10-29,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,back injury (DTD)
2014-10-29,76ers,,Michael Carter-Williams,recovering from surgery on right shoulder to repair torn labrum (DNP)
2014-10-29,Heat,,Danny Granger,hamstring injury (DTD)
2014-10-29,Lakers,,Julius Randle,surgery on right leg to repair fractured tibia (out for season)
2014-10-29,Lakers,Wayne Ellington,,returned to lineup
2014-10-29,Pacers,,David West,sprained right ankle (DTD)
2014-10-29,Thunder,,Anthony Morrow,sprained MCL in left knee (DTD)
2014-10-29,Thunder,,Jeremy Lamb,sprained lower back (DTD)
2014-10-29,Thunder,,Reggie Jackson (b),sprained right ankle (DTD)
2014-10-29,Timberwolves,,Glenn Robinson III,ankle injury (DTD)
2014-10-29,Warriors,Shaun Livingston,,returned to lineup
2014-10-29,Wizards,,Glen Rice Jr.,sprained right ankle (DNP)
2014-10-30,Thunder,,Russell Westbrook,fractured right hand (DTD)
2014-10-31,76ers,,Michael Carter-Williams,recovering from surgery on right shoulder to repair torn labrum (DTD)
2014-10-31,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2014-10-31,Kings,,Derrick Williams,knee injury (DNP)
2014-11-01,Bulls,,Derrick Rose,sprained left ankle (DTD)
2014-11-01,Thunder,,Russell Westbrook,surgery on right hand to repair fracture (out indefinitely)
2014-11-02,Clippers,,Jamal Crawford,bruised ribs (DTD)
2014-11-02,Kings,Derrick Williams,,returned to lineup
2014-11-03,Clippers,Jamal Crawford,,returned to lineup
2014-11-03,Rockets,,Tarik Black,thigh injury (DNP)
2014-11-03,Thunder,Reggie Jackson (b),,returned to lineup
2014-11-04,Lakers,Ryan Kelly,,returned to lineup
2014-11-04,Pelicans,,Luke Babbitt,sprained left finger (DTD)
2014-11-04,Thunder,,Andre Roberson,sprained left foot (DTD)
2014-11-05,Pacers,,Rodney Stuckey,sore left foot (DTD)
2014-11-05,Pistons,,Luigi Datome / Gigi Datome,strained right hamstring (DTD)
2014-11-05,Heat,,Udonis Haslem,strained left quadriceps (DTD)
2014-11-06,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD)
2014-11-06,Spurs,,Marco Belinelli,strained right groin (DTD)
2014-11-06,Spurs,,Tim Duncan,rest (DTD)
2014-11-07,76ers,,Malcolm Thomas (b),left knee injury (DTD)
2014-11-07,76ers,,Nerlens Noel,sprained left ankle (DTD)
2014-11-07,Knicks,,Pablo Prigioni,sprained right ankle (DTD)
2014-11-07,Pacers,,C.J. Miles,migraine headache (DTD)
2014-11-07,Thunder,,Perry Jones III,bruised right knee (DTD)
2014-11-07,Thunder,Jeremy Lamb,,returned to lineup
2014-11-08,Celtics,,Marcus Smart,sprained left ankle (DNP)
2014-11-08,Celtics,,Rajon Rondo,surgery on left hand to remove screw
2014-11-08,Rockets,,Dwight Howard,flu (DTD)
2014-11-08,Spurs,Tim Duncan,,returned to lineup
2014-11-08,Timberwolves,,Anthony Bennett,bruised knee (DTD)
2014-11-08,Timberwolves,,Ricky Rubio,sprained left ankle (DNP)
2014-11-09,Lakers,,Ryan Kelly,sore right hamstring (DTD)
2014-11-09,Magic,,Roy Devyn Marble / Roy Marble (Devyn),sprained rotator cuff in right shoulder (DTD)
2014-11-09,Warriors,,Klay Thompson,sprained right hand (DTD)
2014-11-10,Knicks,Pablo Prigioni,,returned to lineup
2014-11-10,76ers,Malcolm Thomas (b),,returned to lineup
2014-11-11,Bucks,,Khris Middleton,sore right knee (DNP)
2014-11-11,Kings,,Darren Collison,shoulder injury (DTD)
2014-11-11,Thunder,Anthony Morrow,,returned to lineup
2014-11-11,Warriors,Klay Thompson,,returned to lineup
2014-11-12,Rockets,Dwight Howard,,returned to lineup
2014-11-12,Timberwolves,Anthony Bennett,,returned to lineup
2014-11-13,76ers,,Alexey Shved,sore lower back (DTD)
2014-11-13,76ers,Michael Carter-Williams,,returned to lineup
2014-11-13,76ers,Nerlens Noel,,returned to lineup
2014-11-13,Kings,Darren Collison,,returned to lineup
2014-11-14,Bucks,,Khris Middleton,sore right knee (DNP)
2014-11-14,Knicks,,Amare Stoudemire / Amar'e Stoudemire,rest (DTD)
2014-11-14,Lakers,Ryan Kelly,,returned to lineup
2014-11-14,Nuggets,,Randy Foye,bruised right knee (DNP)
2014-11-14,Pacers,C.J. Miles,,returned to lineup
2014-11-14,Pistons,Luigi Datome / Gigi Datome,,returned to lineup
2014-11-14,Rockets,,Troy Daniels,groin injury (DNP)
2014-11-15,Bulls,,Derrick Rose,strained left hamstring (DTD)
2014-11-15,Pacers,,C.J. Miles,strained right calf (DTD)
2014-11-16,Knicks,,Iman Shumpert,bruised right hip (DTD)
2014-11-16,Knicks,Amare Stoudemire / Amar'e Stoudemire,,returned to lineup
2014-11-16,Magic,,Aaron Gordon,fractured left foot (DTD)
2014-11-17,76ers,Alexey Shved,,returned to lineup
2014-11-17,Heat,,Luol Deng,sprained right wrist (DTD)
2014-11-17,Heat,Danny Granger,,returned to lineup
2014-11-17,Hornets,,Gary Neal,concussion (DTD)
2014-11-17,Lakers,,Ryan Kelly,torn right hamstring (out indefinitely)
2014-11-18,Bucks,,Larry Sanders,bruised left thigh (DTD)
2014-11-18,Knicks,,Cleanthony Early,right knee injury (out indefinitely)
2014-11-18,Knicks,Iman Shumpert,,returned to lineup
2014-11-19,Grizzlies,,Beno Udrih,flu (DTD)
2014-11-19,Grizzlies,,Courtney Lee,flu (DTD)
2014-11-19,Grizzlies,,Tony Allen,flu / stomach virus (DTD)
2014-11-19,Hornets,,P.J. Hairston,sprained right ankle (DNP)
2014-11-19,Magic,,Evan Fournier,bruised left heel (DTD)
2014-11-19,Pacers,Rodney Stuckey,,returned to lineup
2014-11-19,Raptors,,James Johnson,sprained right ankle (DTD)
2014-11-19,Rockets,,Dwight Howard,strained right knee (DTD)
2014-11-19,Spurs,,Matt Bonner,stomach virus (DTD)
2014-11-19,Thunder,Andre Roberson,,returned to lineup
2014-11-19,Timberwolves,,Nikola Pekovic,sprained right wrist (DTD)
2014-11-19,Timberwolves,,Ronny Turiaf,hip injury (out for season)
2014-11-19,Nuggets,,J.J. Hickson,DNP
2014-11-20,Heat,Justin Hamilton (b),,returned to lineup
2014-11-20,Heat,Luol Deng,,returned to lineup
2014-11-21,Grizzlies,,Quincy Pondexter,flu / stomach virus (DNP)
2014-11-21,Grizzlies,Beno Udrih,,returned to lineup
2014-11-21,Grizzlies,Courtney Lee,,returned to lineup
2014-11-21,Magic,Evan Fournier,,returned to lineup
2014-11-21,Nuggets,,J.J. Hickson,DNP
2014-11-21,Spurs,Marco Belinelli,,returned to lineup
2014-11-21,Timberwolves,,Kevin Martin,fractured right wrist (DTD)
2014-11-21,76ers,,Jerami Grant,sprained right ankle (DTD)
2014-11-21,Pelicans,,Omer Asik,DNP
2014-11-22,Magic,,Tobias Harris,strained right calf (DTD)
2014-11-22,Spurs,,Matt Bonner,illness (DNP)
2014-11-22,Wizards,,Otto Porter Jr.,left hamstring injury (DNP)
2014-11-23,Grizzlies,Tony Allen,,returned to lineup
2014-11-23,Lakers,,Carlos Boozer,strained left shoulder (DTD)
2014-11-24,Bulls,Derrick Rose,,returned to lineup
2014-11-24,Clippers,,Matt Barnes,strained left calf (DTD)
2014-11-24,Lakers,,Xavier Henry,torn left Achilles tendon (DTD)
2014-11-24,Pacers,,Roy Hibbert,sprained left ankle (DTD)
2014-11-24,Pacers,C.J. Miles,,returned to lineup
2014-11-25,Bucks,,Nate Wolters,illness (DTD)
2014-11-25,Kings,,Darren Collison,bruised left quadriceps (DTD)
2014-11-25,Pistons,,Brandon Jennings,hyperextended left thumb (DTD)
2014-11-25,Timberwolves,,Kevin Martin,surgery on right wrist to repair fracture (out indefinitely)
2014-11-25,Wizards,,Nene / Nene Hilario / Maybyner Hilario,plantar faciitis in right foot (DTD)
2014-11-26,Bucks,,John Henson,sprained left foot (DTD)
2014-11-26,Knicks,,Carmelo Anthony,back spasms (DTD)
2014-11-26,Lakers,Carlos Boozer,,returned to lineup
2014-11-26,Magic,Tobias Harris,,returned to lineup
2014-11-26,Spurs,,Cory Joseph,sprained left ankle (DTD)
2014-11-26,Timberwolves,,Maurice Williams / Mo Williams,illness (DTD)
2014-11-26,Warriors,,Leandro Barbosa,knee injury (DTD)
2014-11-28,Hornets,,Marvin Williams,sprained left shoulder (DTD)
2014-11-28,Kings,Darren Collison,,returned to lineup
2014-11-28,Pacers,David West,,returned to lineup
2014-11-28,Pistons,,Brandon Jennings,"fined $15,000 by NBA for making an obscene gesture during game"
2014-11-28,Thunder,Russell Westbrook,,returned to lineup
2014-11-28,Timberwolves,Maurice Williams / Mo Williams,,returned to lineup
2014-11-28,Mavericks,,Jameer Nelson,back spasms (DTD)
2014-11-29,Bucks,Nate Wolters,,returned to lineup
2014-11-29,Jazz,,Jeremy Evans,sprained left ankle (DTD)
2014-11-29,Mavericks,,Dirk Nowitzki,rest (DTD)
2014-11-29,Raptors,,DeMar DeRozan,torn tendon in left groin (out indefinitely)
2014-11-29,Rockets,,Isaiah Canaan,left ankle injury (DTD)
2014-11-30,Knicks,Carmelo Anthony,,returned to lineup
2014-11-30,Pistons,Brandon Jennings,,returned to lineup
2014-11-30,Warriors,Leandro Barbosa,,returned to lineup
2014-12-01,76ers,,Nerlens Noel,hip flexor injury (DNP)
2014-12-01,Jazz,,Derrick Favors,flu (DTD)
2014-12-01,Spurs,,(William) Tony Parker,bruised ribs (DTD)
2014-12-01,Spurs,,Tim Duncan,rest (DTD)
2014-12-02,Knicks,,J.R. Smith,flu (DTD)
2014-12-02,Magic,,Nikola Vucevic,back spasms (DTD)
2014-12-02,Mavericks,Dirk Nowitzki,,returned to lineup
2014-12-02,Mavericks,Jameer Nelson,,returned to lineup
2014-12-02,Pacers,Roy Hibbert,,returned to lineup
2014-12-03,76ers,,Alexey Shved,strained left hip flexor (DTD)
2014-12-03,76ers,Nerlens Noel,,returned to lineup
2014-12-03,Bucks,,Ersan Ilyasova,fractured nose (DTD)
2014-12-03,Hornets,Marvin Williams,,returned to lineup
2014-12-03,Jazz,,Alec Burks,left shoulder injury (DNP)
2014-12-03,Jazz,Derrick Favors,,returned to lineup
2014-12-03,Mavericks,,Dirk Nowitzki,sore back (DTD)
2014-12-03,Spurs,(William) Tony Parker,,returned to lineup
2014-12-03,Spurs,Tim Duncan,,returned to lineup
2014-12-04,Knicks,J.R. Smith,,returned to lineup
2014-12-05,Heat,,Luol Deng,bruised right hand (DTD)
2014-12-05,Mavericks,Dirk Nowitzki,,returned to lineup
2014-12-05,Thunder,Perry Jones III,,returned to lineup
2014-12-05,Timberwolves,,Maurice Williams / Mo Williams,back spasms (DTD)
2014-12-05,Wizards,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup
2014-12-05,Heat,,Norris Cole (a),cold (DTD)
2014-12-06,Rockets,,Kostas Papanikolaou,strained right knee (DTD)
2014-12-06,Spurs,,(William) Tony Parker,strained left hamstring (DTD)
2014-12-06,Spurs,,Emanuel Ginobili / Manu Ginobili,left shoulder impingement (DTD)
2014-12-07,Heat,Luol Deng,,returned to lineup
2014-12-07,Heat,Norris Cole (a),,returned to lineup
2014-12-07,Nuggets,,JaVale McGee,strained left lower leg (DTD)
2014-12-07,Nuggets,,Kenneth Faried,strained lower back (DTD)
2014-12-07,Nuggets,,Nate Robinson,bruised back (DTD)
2014-12-07,Pacers,,Ian Mahinmi,torn plantar fascia in left foot (out indefinitely)
2014-12-08,Jazz,Jeremy Evans,,returned to lineup
2014-12-08,Nets,,Joe Johnson,flu (DTD)
2014-12-08,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore left (P) / right knee (DTD)
2014-12-09,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
2014-12-10,Heat,,Josh McRoberts,torn meniscus in right knee (out for season)
2014-12-10,Knicks,,Carmelo Anthony,sore left knee (DTD)
2014-12-10,Knicks,,J.R. Smith,sore left heel (DTD)
2014-12-10,Mavericks,,Jameer Nelson,sore right shoulder (DTD)
2014-12-10,Nets,,Mirza Teletovic,right hip pointer (DTD)
2014-12-10,Nuggets,Kenneth Faried,,returned to lineup
2014-12-10,Rockets,,Francisco Garcia,strained right Achilles (DTD)
2014-12-10,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD)
2014-12-10,Spurs,,Tim Duncan,rest (DTD)
2014-12-10,Wizards,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup
2014-12-11,Cavaliers,,LeBron James,sore left knee (DTD)
2014-12-11,Kings,,Omri Casspi,bone bruise in left knee (DTD)
2014-12-11,Rockets,,Isaiah Canaan,sprained left knee (DTD)
2014-12-12,Cavaliers,LeBron James,,returned to lineup
2014-12-12,Knicks,Carmelo Anthony,,returned to lineup
2014-12-12,Spurs,(William) Tony Parker,,returned to lineup
2014-12-12,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
2014-12-12,Spurs,Tim Duncan,,returned to lineup
2014-12-13,76ers,,K.J. McDaniels,sprained left ankle (DTD)
2014-12-13,Bulls,,Doug McDermott,arthroscopic surgery on right knee to repair torn meniscus (out indefinitely)
2014-12-13,Mavericks,Jameer Nelson,,returned to lineup
2014-12-13,Nets,,Kevin Garnett,rest (DTD)
2014-12-13,Pacers,,C.J. Miles,bruised left knee (DTD)
2014-12-13,Rockets,,Isaiah Canaan,sprained left ankle (DTD)
2014-12-13,Rockets,Dwight Howard,,returned to lineup
2014-12-13,Bucks,,Damien Inglis,right ankle injury (out for season)
2014-12-13,Nuggets,,Danilo Gallinari,bruised right knee (DTD)
2014-12-14,Heat,,Chris Bosh,strained left calf (out indefinitely)
2014-12-14,Nuggets,,Kenneth Faried,strained right ankle (DTD)
2014-12-14,Nuggets,Nate Robinson,,returned to lineup
2014-12-14,Pelicans,,Anthony Davis,chest injury (DTD)
2014-12-15,76ers,K.J. McDaniels,,returned to lineup
2014-12-15,Celtics,,Marcus Smart,strained left Achilles (DTD)
2014-12-15,Pacers,C.J. Miles,,returned to lineup
2014-12-15,Spurs,,Emanuel Ginobili / Manu Ginobili,bruised lower back (DTD)
2014-12-15,Spurs,,Tiago Splitter,calf injury (DTD)
2014-12-15,Spurs,,Tim Duncan,rest (DTD)
2014-12-16,Bucks,,Jabari Parker,torn ACL in left knee (out for season)
2014-12-16,Heat,,Danny Granger,illness (DTD)
2014-12-16,Nets,Kevin Garnett,,returned to lineup
2014-12-16,Pelicans,Anthony Davis,,returned to lineup
2014-12-16,Timberwolves,,Ronny Turiaf,arthroscopic surgery on right hip (out for season)
2014-12-16,Timberwolves,Maurice Williams / Mo Williams,,returned to lineup
2014-12-16,Wizards,,Paul Pierce,sore right toe (DTD)
2014-12-17,Grizzlies,,Tony Allen,right eye injury (DTD)
2014-12-17,Nets,,Sergey Karasev,strained left oblique (DTD)
